instrument_token,tradingsymbol,exchange
50948356,IVZGOLDINAV,BSE
50948612,HDFCETFINAV,BSE
50948868,ICICIGDINAV,BSE
50949124,MON100INAV,BSE
50949380,BSLGOLDINAV,BSE
50949636,AXISGOLDINV,BSE
50949892,IDBIGDINAV,BSE
50950148,ICICISINAV,BSE
50950404,GOLDBSINAV,BSE
50950660,KOTAKGDINAV,BSE
50950916,SBIGETSINAV,BSE
50951172,QGOLDLFINV,BSE
50951428,GOLDSHAINV,BSE
50951684,HNGSNGINAV,BSE
50951940,SILVERINAV,BSE
50952196,KTKSENSINAV,BSE
50952452,SBISENSINAV,BSE
50952708,MOM100INAV,BSE
50952964,ICICINIINAV,BSE
50953220,ICICINFINAV,BSE
50953476,NIF100BINAV,BSE
50953732,KOTAKNIINAV,BSE
50953988,CPSEETFINAV,BSE
50954244,SENSEXBINAV,BSE
50954500,SETFBSEINAV,BSE
50954756,UTISENSINAV,BSE
50955012,UTINIFTINAV,BSE
50955268,LICE50INAV,BSE
50955524,LICETFINAV,BSE
50955780,HDNIFINAV,BSE
50956036,SXETFINAV,BSE
50956292,LICFNHINAV,BSE
50956548,ICICINVINAV,BSE
50956804,ICICIMCINAV,BSE
50957060,BSLSENEINAV,BSE
50957316,IDFSENSINAV,BSE
50957572,ICICILOINAV,BSE
50957828,UTINEXTINAV,BSE
50958084,ICICIB2INAV,BSE
50958340,LIQUIDEINAV,BSE
50958596,ICICI50INAV,BSE
50958852,ICICINXINAV,BSE
50959108,ICICILIINAV,BSE
50959364,SETFSN5INAV,BSE
50959620,MAN50ETINAV,BSE
50959876,ABSLNN5INAV,BSE
50960132,UTISXN5INAV,BSE
50960388,ICICIPBINAV,BSE
50960644,SNXT50BINAV,BSE
50960900,ICICIBAINAV,BSE
50961156,ABSLBANINAV,BSE
50961412,EBBET0INAV,BSE
50961668,EBETF0INAV,BSE
50961924,ICICIM1INAV,BSE
50962180,MANXT50INAV,BSE
50962436,EBBETAINAV,BSE
50962692,EBBETF0INAV,BSE
50962948,ICICIALINAV,BSE
50963204,ICICITEINAV,BSE
50963460,HBANKETINAV,BSE
50963716,UTIBANKINAV,BSE
50963972,MAESGETINAV,BSE
50964228,MOGSECINAV,BSE
50964484,INFRABEINAV,BSE
50964740,MAFANGINAV,BSE
50964996,ICICIPHINAV,BSE
50965252,MAFSETFINAV,BSE
50965508,ICICIFMINAV,BSE
50965764,AXISTECINAV,BSE
50966020,AXISHETINAV,BSE
50966276,AXISCETINAV,BSE
50966532,MASPTOPINAV,BSE
50966788,ICICICOINAV,BSE
50967044,DSPNEWEINAV,BSE
50967300,MAHKTECINAV,BSE
50967556,BBETF04INAV,BSE
50967812,MONQ50INAV,BSE
50968068,DSPQ50EINAV,BSE
50968324,DSPN50INAV,BSE
50968580,ICICIAUINAV,BSE
50968836,MAMFGETINAV,BSE
50969092,MOMOMENINAV,BSE
50969348,TECHINAV,BSE
50969604,HEALTHYINAV,BSE
50969860,BSLNIFTINAV,BSE
50970116,ICICI5GINAV,BSE
50970372,MAM150EINAV,BSE
50970628,MOLOWVOINAV,BSE
50970884,ICICSENNAV,BSE
50971140,LIQUIDBINAV,BSE
50971396,NIFTYBEINAV,BSE
50971652,JUNIORBINAV,BSE
50971908,BANKBEEINAV,BSE
50972164,KOTAKPSINAV,BSE
50972420,PSUBNKBINAV,BSE
50972676,SHARIABINAV,BSE
50972932,QNIFTYINAV,BSE
50973188,MOM50INAV,BSE
50973444,KOTAKBKINAV,BSE
50973700,SETFNIFINAV,BSE
50973956,SETFN50INAV,BSE
50974212,MOHEALTINAV,BSE
50974468,ICMOM30INAV,BSE
50974724,HDFF100INAV,BSE
50974980,HDFNX50INAV,BSE
50975236,ICICINFNAV,BSE
50975492,DSPSILINAV,BSE
50975748,NIFQTYINAV,BSE
50976004,MOM30INAV,BSE
50976260,MOQUALTINAV,BSE
50976516,MOVALUEINAV,BSE
50976772,HDFCSIINAV,BSE
50977028,HDFQUALINAV,BSE
50977284,HDFGROWINAV,BSE
50977540,HDFVALUINAV,BSE
50977796,HDFMOMEINAV,BSE
50978052,HDFCLOLINAV,BSE
50978308,HDFCBANINAV,BSE
50978564,HDFCNITINAV,BSE
50978820,ICICINAV,BSE
50979076,EBBEINAV,BSE
50979332,ICIC01INAV,BSE
50979588,ICIC02INAV,BSE
50979844,DSPBINAV,BSE
50980100,HDFCINAV,BSE
50980356,HDFC01INAV,BSE
50980612,HDFC02INAV,BSE
50980868,MAGOINAV,BSE
50981124,PSUBINAV,BSE
50981380,ABSLINAV,BSE
50981636,AXISINAV,BSE
50981892,MANVINAV,BSE
50982148,MAGSINAV,BSE
50982404,SILVINAV,BSE
50982660,DSPGINAV,BSE
50982916,MASIINAV,BSE
50983172,DSPIINAV,BSE
50983428,BANKINAV,BSE
50983684,LIQUINAV,BSE
50983940,DSPPINAV,BSE
50984196,DSPSINAV,BSE
50984452,DSPP01INAV,BSE
50984708,ICIC03INAV,BSE
50984964,HDFC03INAV,BSE
50985220,NIFMINAV,BSE
50985476,NAVIINAV,BSE
50985732,SENSINAV,BSE
50985988,ALPHINAV,BSE
50986244,ITETINAV,BSE
50986500,LIQU01INAV,BSE
50986756,BBNPINAV,BSE
50987012,LIQU02INAV,BSE
50987268,BANK01INAV,BSE
50987524,NIFTINAV,BSE
50987780,NIFIINAV,BSE
50988036,NIF1INAV,BSE
50988292,NIF5INAV,BSE
50988548,HEALINAV,BSE
50988804,HDFC04INAV,BSE
50989060,LICNINAV,BSE
50989316,SMALINAV,BSE
50989572,GOLDINAV,BSE
50989828,LIQU03INAV,BSE
50990084,MIDSINAV,BSE
50990340,LIQU04INAV,BSE
50990596,TOP1INAV,BSE
50990852,MID1INAV,BSE
50991108,BBNP01INAV,BSE
50991364,SBISINAV,BSE
50991620,LIQU05INAV,BSE
50991876,ABGSINAV,BSE
50992132,EVININAV,BSE
50992388,SBININAV,BSE
50992644,OILIINAV,BSE
50992900,ABSL01INAV,BSE
50993156,GSECINAV,BSE
50993412,METAINAV,BSE
50993668,MULTINAV,BSE
50993924,TOP101INAV,BSE
50994180,BANK02INAV,BSE
50994436,META01INAV,BSE
50994692,VAL3INAV,BSE
50994948,LIQU06INAV,BSE
50995204,CONSINAV,BSE
50995460,ECAPINAV,BSE
50995716,NEXTINAV,BSE
50995972,UNIOINAV,BSE
50996228,GOLD01INAV,BSE
50996484,SELEINAV,BSE
50996740,EQUAINAV,BSE
50996996,CASHINAV,BSE
50997252,AXIS01INAV,BSE
50997508,SILV01INAV,BSE
50997764,SBIBINAV,BSE
50998020,SILV02INAV,BSE
50998276,EVIEINAV,BSE
51218436,MCL,BSE
51226884,RKEC,BSE
51247108,AMJUMBO,BSE
51257092,SMVD,BSE
51272452,JMA,BSE
51278340,SINTERCOM,BSE
51303684,MPTODAY,BSE
51306244,CREATIVE$,BSE
51309572,JETKNIT,BSE
