tradingsymbol,instrument_token,duration_secs,error
IVZGOLDINAV,50948356,0.14,
HDFCETFINAV,50948612,0.15,
ICICIGDINAV,50948868,0.16,
MON100INAV,50949124,0.17,
BSLGOLDINAV,50949380,0.15,
AXISGOLDINV,50949636,0.16,
IDBIGDINAV,50949892,0.13,
ICICISINAV,50950148,0.15,
GOLDBSINAV,50950404,0.14,
KOTAKGDINAV,50950660,0.15,
SBIGETSINAV,50950916,0.14,
QGOLDLFINV,50951172,0.15,
GOLDSHAINV,50951428,0.13,
HNGSNGINAV,50951684,0.14,
SILVERINAV,50951940,0.15,
KTKSENSINAV,50952196,0.14,
SBISENSINAV,50952452,0.2,
MOM100INAV,50952708,0.13,
ICICINIINAV,50952964,0.11,
ICICINFINAV,50953220,0.2,
NIF100BINAV,50953476,0.29,
KOTAKNIINAV,50953732,0.16,
CPSEETFINAV,50953988,0.16,
SENSEXBINAV,50954244,0.15,
SETFBSEINAV,50954500,0.14,
UTISENSINAV,50954756,0.14,
UTINIFTINAV,50955012,0.14,
LICE50INAV,50955268,0.15,
LICETFINAV,50955524,0.12,
HDNIFINAV,50955780,0.31,
SXETFINAV,50956036,0.15,
LICFNHINAV,50956292,0.19,
ICICINVINAV,50956548,0.13,
ICICIMCINAV,50956804,0.13,
BSLSENEINAV,50957060,0.29,
IDFSENSINAV,50957316,0.17,
ICICILOINAV,50957572,0.13,
UTINEXTINAV,50957828,0.12,
ICICIB2INAV,50958084,0.14,
LIQUIDEINAV,50958340,0.13,
ICICI50INAV,50958596,0.15,
ICICINXINAV,50958852,0.14,
ICICILIINAV,50959108,0.2,
SETFSN5INAV,50959364,0.26,
MAN50ETINAV,50959620,0.22,
ABSLNN5INAV,50959876,0.21,
UTISXN5INAV,50960132,0.19,
ICICIPBINAV,50960388,0.15,
SNXT50BINAV,50960644,0.14,
ICICIBAINAV,50960900,0.13,
ABSLBANINAV,50961156,0.13,
EBBET0INAV,50961412,0.12,
EBETF0INAV,50961668,0.15,
ICICIM1INAV,50961924,0.15,
MANXT50INAV,50962180,0.15,
EBBETAINAV,50962436,0.14,
EBBETF0INAV,50962692,0.16,
ICICIALINAV,50962948,0.16,
ICICITEINAV,50963204,0.17,
HBANKETINAV,50963460,0.12,
UTIBANKINAV,50963716,0.17,
MAESGETINAV,50963972,0.15,
MOGSECINAV,50964228,0.15,
INFRABEINAV,50964484,0.17,
MAFANGINAV,50964740,0.27,
ICICIPHINAV,50964996,0.2,
MAFSETFINAV,50965252,0.15,
ICICIFMINAV,50965508,0.26,
AXISTECINAV,50965764,0.17,
AXISHETINAV,50966020,0.14,
AXISCETINAV,50966276,0.12,
MASPTOPINAV,50966532,0.13,
ICICICOINAV,50966788,0.28,
DSPNEWEINAV,50967044,0.17,
MAHKTECINAV,50967300,0.38,
BBETF04INAV,50967556,0.16,
MONQ50INAV,50967812,0.29,
DSPQ50EINAV,50968068,0.19,
