"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"DEEPAKNTR","Deepak Nitrite Limited","Resignation of Independent director","Deepak Nitrite Limited has informed the Exchange about Resignation of Independent director.","10-Apr-2025 12:33:45","2025-04-10 12:33:45","10-Apr-2025 12:33:45","00:00:00","https://nsearchives.nseindia.com/corporate/DEEPAKNTR_ROID_50373_KMP_Doc.zip"
"SAMPANN","Sampann Utpadan India Limited","General Updates","Sampann Utpadan India Limited has informed the Exchange about General Updates, Appointment of Mr. Neeraj Kumar mehra as Chief FInancial officer ofthe COmpanty w.e.f 10.04.2025","10-Apr-2025 12:33:18","2025-04-10 12:33:18","10-Apr-2025 12:33:19","00:00:01","https://nsearchives.nseindia.com/corporate/SEPOWER_10042025123309_Outcome_Board_Meeting_appointment_of_CFO.pdf"
"KEEPLEARN","DSJ Keep Learning Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","DSJ Keep Learning Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:33:15","2025-04-10 12:33:15","10-Apr-2025 12:33:16","00:00:01","https://nsearchives.nseindia.com/corporate/DALALSTCOM_10042025123308_Announcements.pdf"
"BCLIND","Bcl Industries Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Bcl Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:31:27","2025-04-10 12:31:27","10-Apr-2025 12:31:28","00:00:01","https://nsearchives.nseindia.com/corporate/BCLIND_10042025123112_Reg_74_5_.pdf"
"VADILALIND","Vadilal Industries Limited","Copy of Newspaper Publication","Vadilal Industries Limited has informed the Exchange about Copy of Newspaper Publication","10-Apr-2025 12:28:53","2025-04-10 12:28:53","10-Apr-2025 12:28:53","00:00:00","https://nsearchives.nseindia.com/corporate/VADILALIND_10042025122836_VIL_Adv.pdf"
"BSE","BSE Limited","Copy of Newspaper Publication","BSE Limited has informed the Exchange about Copy of Newspaper Publication","10-Apr-2025 12:28:19","2025-04-10 12:28:19","10-Apr-2025 12:28:20","00:00:01","https://nsearchives.nseindia.com/corporate/BSE1_10042025122737_11NSeintimation.pdf"
"GOCOLORS","Go Fashion (India) Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Go Fashion (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:25:00","2025-04-10 12:25:00","10-Apr-2025 12:25:01","00:00:01","https://nsearchives.nseindia.com/corporate/GOCOLORS_10042025122446_Cert-74_5_Upload.pdf"
"THOMASCOOK","Thomas Cook  (India)  Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","THOMAS COOK  (INDIA)  LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","10-Apr-2025 12:24:41","2025-04-10 12:24:41","10-Apr-2025 12:24:41","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/CIM_50372_1411454_10042025122440_WEB.xml"
"RVHL","Ravinder Heights Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Ravinder Heights Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:23:53","2025-04-10 12:23:53","10-Apr-2025 12:23:54","00:00:01","https://nsearchives.nseindia.com/corporate/RVHL_10042025122345_coverletter.pdf"
"NECCLTD","North Eastern Carrying Corporation Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","North Eastern Carrying Corporation Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","10-Apr-2025 12:22:47","2025-04-10 12:22:47","10-Apr-2025 12:22:48","00:00:01","https://nsearchives.nseindia.com/corporate/NECCLTD_10042025122217_Certificateunderregulations74.pdf"
